species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Chinstrap,45.4,20.7,193,3524,female,2007
Chinstrap,51.7,17.8,194,3725,male,2007
Chinstrap,44.2,17.8,203,3955,female,2007
Chinstrap,46.1,17.2,173,3247,female,2007
Chinstrap,52.3,16.2,193,3745,male,2007
Chinstrap,46,19.9,195,4145,female,2007
Chinstrap,51.3,17.9,195,3708,male,2007
Chinstrap,45.6,18.8,189,3791,female,2007
Chinstrap,51.7,21.3,190,3784,male,2007
Chinstrap,48,15.3,190,3708,female,2007
Chinstrap,51,18.1,200,4055,male,2007
Chinstrap,46.9,17.1,193,3572,female,2007
Chinstrap,49.5,18.6,197,4056,male,2007
Chinstrap,50.3,20,193,3296,male,2007
Chinstrap,59,18.8,180,3698,female,2007
Chinstrap,47.4,16.6,190,3456,female,2007
Chinstrap,48.2,16.2,190,4402,male,2007
Chinstrap,42.4,16.3,183,3597,female,2007
Chinstrap,48.5,16.5,188,3400,male,2007
Chinstrap,44.2,16.6,189,2900,female,2007
Chinstrap,49.6,19.4,190,3793,male,2007
Chinstrap,46.7,19.9,193,3298,female,2007
Chinstrap,52,21,192,4147,male,2007
Chinstrap,49.5,18.4,195,3401,female,2008
Chinstrap,49.5,19,195,3796,male,2008
Chinstrap,46.4,19.8,195,3707,female,2008
Chinstrap,53.8,18,210,4549,male,2008
Chinstrap,39.9,18.6,191,3205,female,2008
Chinstrap,54.2,22.8,199,4299,male,2008
Chinstrap,42.5,14.7,182,3346,female,2008
Chinstrap,51,20.8,203,4093,male,2008
Chinstrap,49.7,18.6,198,3596,male,2008
Chinstrap,48.5,17.8,204,3900,female,2008
Chinstrap,48.6,20.3,191,3856,female,2008
Chinstrap,52,20.7,205,4801,male,2008
Chinstrap,47.9,15.6,192,2698,female,2008
Chinstrap,52.5,21.9,200,4498,male,2008
Chinstrap,49,20.5,210,3944,male,2008
Chinstrap,45.2,16.5,182,3658,female,2008
Chinstrap,49.9,21.1,192,3540,male,2008
Chinstrap,45.5,17,194,3492,female,2008
Chinstrap,51.9,18.9,200,3681,female,2009
Chinstrap,51.8,16.5,200,4450,male,2009
Chinstrap,51.1,16.9,187,3392,female,2009
Chinstrap,50,19.6,207,4295,male,2009
Chinstrap,51.5,18.7,191,3252,male,2009
Chinstrap,50.8,17.3,199,3672,female,2009
Chinstrap,49.1,14.4,201,3323,female,2009
Chinstrap,52.4,20,206,3946,male,2009
Chinstrap,45.7,19.3,194,3597,female,2009
Chinstrap,51.7,19.7,199,4046,male,2009
Chinstrap,42.5,16.3,184,3360,female,2009
Chinstrap,53.2,17.8,196,3445,male,2009
Chinstrap,46.2,15.6,189,3250,female,2009
Chinstrap,49.3,18.9,198,4055,male,2009
Adelie,37.7,19.6,183.2,3763,male,2008
Adelie,36.3,19.6,189.7,3810,female,2008
Adelie,41.8,17.4,197.5,3274,female,2008
Adelie,43.6,22.1,177.4,3462,female,2008
Adelie,40.7,17.6,185,3614,male,2008
Adelie,40.1,20.7,180.3,3608,female,2008
Adelie,37.8,19.5,193.3,4642,male,2008
Adelie,42,19.7,182.4,3196,female,2008
Adelie,38.3,23,184.1,3789,male,2008
Adelie,31.8,22.6,191.2,4416,male,2008
Adelie,35.6,16.3,186.4,3687,female,2008
Adelie,39.1,21.7,194.8,3467,female,2008
Adelie,42.3,15.7,185.3,4479,male,2008
Adelie,38.4,16.7,186.5,3337,female,2008
Adelie,51.7,26.3,200.3,4228,male,2008
Adelie,37.3,20.5,171.8,3451,female,2008
Adelie,39.8,15.4,181.4,3599,male,2008
Adelie,36,20.8,185.7,3800,female,2008
Adelie,38.4,17.8,183.5,3959,male,2008
Adelie,36.7,14.5,178.8,3790,male,2008
Adelie,34.1,19,189.6,3784,female,2008
Adelie,44.7,19.1,191.1,3560,male,2008
Adelie,40.7,18,183.6,3177,female,2008
Adelie,37.3,17.3,165.3,3166,female,2008
Adelie,39.4,17.5,188.2,3926,male,2008
Adelie,39.6,16.4,174.3,3250,female,2008
Adelie,34.4,19.7,182.4,3889,male,2008
Adelie,36.7,14.9,194.9,3321,female,2008
Adelie,41.8,17.6,182.3,3878,male,2008
Adelie,37.2,18.6,194.2,3301,female,2008
Adelie,40.4,19.1,193.4,4138,male,2008
Adelie,39.2,18.4,192.5,3983,male,2008
Adelie,45,17.6,175.8,3554,female,2008
Adelie,35.2,18.8,181.6,3307,female,2008
Adelie,36.2,19.9,182.8,4653,male,2008
Adelie,37.4,18.3,181.9,3145,female,2008
Adelie,39.9,16.1,190.1,3930,male,2008
Adelie,37.8,17.1,186.4,3089,female,2008
Adelie,43.5,21.7,196.7,4422,male,2008
Adelie,34.9,17.1,183.7,2984,female,2008
Adelie,40.7,26.8,192.1,4620,male,2008
Adelie,44.4,20.9,188.3,3451,male,2008
Adelie,38,20,195,3416,female,2008
Adelie,40.1,18.4,188.8,4161,male,2008
Adelie,40.8,16.4,188,3500,female,2009
Adelie,40.6,17.3,188.4,4318,male,2009
Adelie,35.1,15.1,185.4,3421,female,2009
Adelie,42.5,17.5,205.6,4046,male,2009
Adelie,34.9,17.4,194.5,2902,female,2009
Adelie,39.2,18.1,187.2,3693,male,2009
Adelie,39.8,17.7,184.8,3568,female,2009
Adelie,40.8,20.3,186.8,3802,male,2009
Adelie,36.5,15.3,173.2,2835,female,2009
Adelie,36.5,19.4,187.1,3764,male,2009
Adelie,38.9,14.7,188.6,3153,female,2009
Adelie,40.8,19.7,187.6,4390,male,2009
Adelie,37.6,16.9,185.3,3602,female,2009
Adelie,44.9,23.3,200.5,4057,male,2009
Adelie,33.3,17.7,182.1,2820,female,2009
Adelie,41.5,17.7,192,3941,male,2009
Adelie,34.3,16.1,197.6,3400,female,2009
Adelie,40.4,22.1,193.2,4066,male,2009
Adelie,36.2,18.5,200.1,3060,female,2009
Adelie,41.4,20.7,187.7,4449,male,2009
Adelie,33.8,20.6,189.1,3624,female,2009
Adelie,40.7,17.3,195.7,3899,male,2009
Adelie,41.7,15.8,193.2,3532,female,2009
Adelie,43.8,23.3,185.6,4182,male,2009
Adelie,37.2,16.5,185,3686,female,2009
Adelie,45.9,18.8,195.6,4248,male,2009
Adelie,35.9,17.3,189.2,3699,female,2009
Adelie,34.7,18,184.9,3898,male,2009
Adelie,32.8,14.8,185.1,3558,female,2009
Adelie,41.8,19.3,198.2,3991,male,2009
Adelie,31,19.6,185.8,3203,female,2009
Adelie,41.1,19,203.5,4674,male,2009
Adelie,39.7,16,185.1,3820,female,2009
Adelie,35.5,21.9,190.2,4192,male,2009
Adelie,38.9,20.2,198.4,3325,female,2009
Adelie,40.7,17.3,206.1,3549,male,2009
Adelie,33.6,20.4,186,3823,male,2009
Adelie,35.8,20,182.9,3526,female,2009
Adelie,35.4,20.1,188.5,3949,male,2009
Adelie,39.1,23.5,182.9,3634,female,2009
Adelie,34.1,16.5,199.7,3564,female,2009
Adelie,40.5,18.2,204,4298,male,2009
Adelie,35.1,15.7,195.3,3382,female,2009
Adelie,35.7,21.1,181.7,4456,male,2009
Adelie,35,16.1,185.6,3274,female,2009
Adelie,43.8,21.7,211,4282,male,2009
Adelie,37.8,15.6,192.5,3698,female,2009
Adelie,44,16.7,205.2,4381,male,2009
Adelie,31.7,16.1,179.8,2925,female,2009
Adelie,40.4,21.3,192.6,4080,male,2009
Adelie,34.3,20.7,192.1,3715,female,2010
Adelie,41.8,22.7,194.9,4744,male,2010
Adelie,37.7,15.5,184,3042,female,2010
Adelie,42.3,20.8,188.6,4259,male,2010
Adelie,37.6,21.4,192.8,2959,female,2010
Adelie,43.1,16.8,173.3,3560,male,2010
Adelie,38.7,17.4,204.3,3778,female,2010
Adelie,38.2,21.8,188.4,3922,male,2010
Adelie,36.8,17,182.4,3188,female,2010
Adelie,42.8,17.4,193.7,4761,male,2010
Adelie,38.8,18.6,202.3,3797,female,2010
Adelie,45.2,23.4,190.7,4576,male,2010
Adelie,42.4,18.7,188.1,3198,female,2010
Adelie,38.2,16.5,201.3,4284,male,2010
Adelie,41.8,15.2,186.7,3876,female,2010
Adelie,44,19.1,191.7,4088,male,2010
Adelie,39.8,18.8,191.6,2913,female,2010
Adelie,37.1,19.8,202.2,3762,male,2010
Adelie,37.6,16.8,188.9,3365,female,2010
Adelie,39.9,17.9,188.7,3336,male,2010
Adelie,35.3,15.7,185.2,3150,female,2010
Adelie,34.4,21.4,194.4,3543,male,2010
Adelie,36.1,17.9,175.1,3440,female,2010
Adelie,40.7,17.5,207.6,3900,male,2010
Adelie,35,13.4,183.4,3016,female,2010
Adelie,41.1,18.2,199.4,4002,male,2010
Adelie,39.7,18.2,189.1,3289,female,2010
Adelie,38,15.4,189.2,4297,male,2010
Adelie,32.6,14.8,190.4,3060,female,2010
Adelie,43.9,21.7,208.8,3985,male,2010
Adelie,38.7,17.4,190.6,3332,female,2010
Adelie,43,22.2,195.1,3495,male,2010
Adelie,37.8,20.3,189.4,3510,female,2010
Adelie,37.6,18.5,194.5,4454,male,2010
Adelie,40.1,19,182.2,3405,female,2010
Adelie,39.1,17.4,185.7,3957,male,2010
Adelie,34,20.1,186.5,3199,female,2010
Adelie,39.9,21.9,198.6,3939,male,2010
Adelie,38,15.1,185.1,3417,female,2010
Adelie,39.6,18,194.3,4284,male,2010
Adelie,43.5,17.5,193.9,3407,female,2010
Adelie,39.3,15.6,192.8,3476,male,2010
Adelie,34.2,14.7,197.2,3063,female,2010
Adelie,40.5,16.6,187,3719,male,2010
Adelie,37.5,16.7,182.5,3000,female,2010
Adelie,40.7,20.7,189.8,3659,male,2010
Adelie,39.2,19.6,193.5,4222,male,2010
Adelie,33.6,18.1,182.6,3477,female,2010
Adelie,35.7,19.5,207.9,3465,female,2010
Adelie,40,14.1,200.9,3783,male,2010
Adelie,34,18.4,189.4,3711,female,2010
Adelie,41.9,18.3,195.9,4024,male,2010
Gentoo,49.6,11.9,208.6,4512,female,2008
Gentoo,48.9,17.8,230.8,5698,male,2008
Gentoo,49.8,15.9,200.9,4429,female,2008
Gentoo,50.1,13.5,222.6,5701,male,2008
Gentoo,46.9,15.7,215.6,5473,male,2008
Gentoo,49.7,15.6,216.2,4561,female,2008
Gentoo,42,14.4,214,4785,female,2008
Gentoo,47.2,17.2,219.4,5208,male,2008
Gentoo,45.7,12.3,199.8,4401,female,2008
Gentoo,46.8,15.7,215.2,5179,male,2008
Gentoo,38.4,13.3,214.7,4597,female,2008
Gentoo,48.5,15,207.8,5547,male,2008
Gentoo,45.2,14.8,208.2,4666,female,2008
Gentoo,49.4,16.6,213.7,5854,male,2008
Gentoo,42.7,16.5,211.9,4188,female,2008
Gentoo,50.4,12.6,213.6,5847,male,2008
Gentoo,44.1,10.7,211.8,4110,female,2008
Gentoo,48.2,14.7,223.3,6292,male,2008
Gentoo,46.2,14.6,198.7,4846,female,2008
Gentoo,46.6,14.9,226.9,5372,male,2008
Gentoo,50.8,11.6,224.2,5686,male,2008
Gentoo,44.1,11.9,199.9,5016,female,2008
Gentoo,46.4,12.5,218.5,4395,female,2008
Gentoo,46,13.8,219,5035,male,2008
Gentoo,42.9,13.7,222.1,5006,female,2008
Gentoo,46.5,15,214.3,5120,male,2008
Gentoo,43.4,9.8,216.2,5630,male,2008
Gentoo,50.2,18,200.1,4583,female,2008
Gentoo,54.4,12.5,223.3,5590,male,2008
Gentoo,45.8,18.2,211.3,5259,male,2008
Gentoo,47.1,13.9,204.3,4686,female,2008
Gentoo,45.1,12.9,206.8,5061,female,2008
Gentoo,61.1,19,231.1,6016,male,2008
Gentoo,46.8,13.8,213.6,5118,female,2009
Gentoo,44.6,16.9,228.1,5404,male,2009
Gentoo,41.8,13.2,215.9,4956,female,2009
Gentoo,45.8,17.6,218.6,5257,male,2009
Gentoo,40.9,11.8,208.1,4341,female,2009
Gentoo,45.1,17.4,209.8,5348,male,2009
Gentoo,41.2,14.4,205.9,3949,female,2009
Gentoo,48,19.3,223.7,5701,male,2009
Gentoo,47.8,11.4,211.9,4309,female,2009
Gentoo,47.4,16.4,224.3,4784,male,2009
Gentoo,49.3,17.7,221.7,5555,male,2009
Gentoo,41.7,14.1,216.7,4891,female,2009
Gentoo,49,9.6,208.7,4184,female,2009
Gentoo,50.2,15.9,218.7,5380,male,2009
Gentoo,45.2,15.3,200.4,5102,female,2009
Gentoo,47.9,18.9,214.5,5299,male,2009
Gentoo,48.2,17.4,202.6,4821,female,2009
Gentoo,50.1,12.7,215.7,5299,male,2009
Gentoo,48.1,12.5,206.6,4377,female,2009
Gentoo,45,17.7,232.1,4986,male,2009
Gentoo,46.2,14.8,214.3,4912,female,2009
Gentoo,45.2,13.4,225.3,5028,male,2009
Gentoo,44.4,13.7,205.5,4295,female,2009
Gentoo,45.3,12.9,216.6,4998,male,2009
Gentoo,40.1,12.3,210.4,4422,female,2009
Gentoo,46.5,13.5,226.7,5559,male,2009
Gentoo,44.7,14.9,201.1,4189,female,2009
Gentoo,47.7,17.3,220.2,5311,male,2009
Gentoo,43.9,14.8,224,4374,female,2009
Gentoo,52.8,16.5,229.3,5657,male,2009
Gentoo,47.9,15.5,216.6,4662,female,2009
Gentoo,50.9,16.3,233.1,5746,male,2009
Gentoo,50,16.5,225.9,5817,male,2009
Gentoo,43.9,15.7,214.5,4701,female,2009
Gentoo,50.7,14.7,216.4,5548,male,2009
Gentoo,46,16.4,213.5,4771,female,2009
Gentoo,47.1,16.1,224.5,4987,male,2009
Gentoo,44.6,18.7,235.2,5083,male,2009
Gentoo,47.7,15,218,5163,female,2009
Gentoo,45,15.4,220.7,4695,female,2009
Gentoo,47.8,14.8,227,5783,male,2009
Gentoo,46.2,10.6,201.6,4606,female,2009
Gentoo,55.2,15.1,226.4,6024,male,2009
Gentoo,43.2,13,219.4,4740,female,2009
Gentoo,46.4,17.4,213.2,5969,male,2009
Gentoo,49.7,14,213.2,4626,female,2010
Gentoo,56.4,16.7,217.9,5442,male,2010
Gentoo,45.9,13.6,203.4,4737,female,2010
Gentoo,48.9,17.5,231.7,5383,male,2010
Gentoo,39.7,16,209.6,4760,female,2010
Gentoo,52.2,12.9,225.2,5639,male,2010
Gentoo,43.2,16.8,219.4,4573,female,2010
Gentoo,49.4,15,224,5324,male,2010
Gentoo,48,14.6,221.3,4867,female,2010
Gentoo,51.2,15.5,231.3,5554,male,2010
Gentoo,51,16.8,220.9,4942,female,2010
Gentoo,49.6,17,229.2,5400,male,2010
Gentoo,46.1,11.5,209.8,4727,female,2010
Gentoo,52.5,18.1,223.7,5673,male,2010
Gentoo,43.8,16.4,211.4,4856,female,2010
Gentoo,54.1,16.3,223,5207,male,2010
Gentoo,50,15.7,208.6,4939,male,2010
Gentoo,46.7,14.8,226.2,4900,female,2010
Gentoo,44.8,12.5,202.9,4650,female,2010
Gentoo,50.7,19.4,228.2,5270,male,2010
Gentoo,49.3,9.1,215.8,4832,female,2010
Gentoo,56.4,22.3,228.6,5640,male,2010
Gentoo,45.8,14.1,219.2,4999,female,2010
Gentoo,50.7,14.3,229.9,5517,male,2010
Gentoo,45.7,12.6,220,5487,male,2010
Gentoo,43.8,13.4,212.7,4699,female,2010
Gentoo,53.4,17.1,211,5470,male,2010
Gentoo,44.4,10.8,207,4564,female,2010
Gentoo,48.5,15.3,202,5502,male,2010
Gentoo,49,15.8,210,5002,female,2010
Gentoo,48.4,19.5,229.6,5932,male,2010
Gentoo,40.6,16.7,210.1,4658,female,2010
Gentoo,50.6,17,227.8,5517,male,2010
Gentoo,48.7,12.5,214.5,4361,female,2010
Gentoo,54.4,16.7,220,5842,male,2010
Gentoo,49.9,14.8,221.3,5973,male,2010
Gentoo,51.6,15.3,213.3,4948,female,2010
Gentoo,46.1,13.7,207,4874,female,2010
Gentoo,47.3,16.2,216.6,5759,male,2010
Gentoo,45.1,12.6,210.3,5240,female,2010
Gentoo,48.9,16.5,215.7,5390,male,2010
Chinstrap,44.3,13,195.4,3477,female,2008
Chinstrap,48.8,16.8,194.1,3897,male,2008
Chinstrap,51.7,22.6,204.6,3640,male,2008
Chinstrap,45.6,17.4,188.3,3505,female,2008
Chinstrap,50.7,18.7,194.4,3744,male,2008
Chinstrap,45.2,18.8,199.8,3959,female,2008
Chinstrap,46.9,21.2,181.8,3251,female,2008
Chinstrap,48.5,16.2,191.1,3788,male,2008
Chinstrap,45.9,17.9,191,4127,female,2008
Chinstrap,53.9,20.5,196.6,3702,male,2008
Chinstrap,43.6,16.5,197.7,3835,female,2008
Chinstrap,48.3,21.3,199,3797,male,2008
Chinstrap,47.1,14.2,184.5,3671,female,2008
Chinstrap,52.6,16.3,204,4029,male,2008
Chinstrap,46.4,17.6,200.4,3592,female,2008
Chinstrap,45.2,22.2,191.4,4051,male,2008
Chinstrap,53.4,20.7,195.3,3302,male,2008
Chinstrap,56.7,18,175.9,3699,female,2008
Chinstrap,47.3,20.3,190.3,3457,female,2008
Chinstrap,45.8,16.3,198.3,4422,male,2008
Chinstrap,40.3,17.8,185,3539,female,2008
Chinstrap,47.8,19.5,192.4,3372,male,2008
Chinstrap,41.7,17.1,187,2932,female,2008
Chinstrap,51.6,17.8,192.8,3795,male,2008
Chinstrap,46.8,18.3,196.8,3279,female,2008
Chinstrap,53.4,18.8,202,4146,male,2008
Chinstrap,49.3,17,195.5,3396,female,2009
Chinstrap,48,16.4,208.2,3779,male,2009
Chinstrap,45.6,17.6,190.7,3703,female,2009
Chinstrap,52.5,23.8,216.5,4514,male,2009
Chinstrap,39.6,17.4,191.9,3210,female,2009
Chinstrap,54.8,16.3,207.1,4313,male,2009
Chinstrap,42.6,21.5,190,3322,female,2009
Chinstrap,53.2,15.2,205.7,4126,male,2009
Chinstrap,48.7,18.9,193.4,3618,male,2009
Chinstrap,48.7,17,202.9,3926,female,2009
Chinstrap,48.6,21,197.2,3850,female,2009
Chinstrap,50.5,19.5,209.2,4802,male,2009
Chinstrap,45.5,20.9,189,2706,female,2009
Chinstrap,53.2,17,210.9,4474,male,2009
Chinstrap,50,19.7,211.1,3941,male,2009
Chinstrap,42.9,22.3,183.8,3667,female,2009
Chinstrap,50.9,17.5,205.9,3544,male,2009
Chinstrap,42.6,18.1,196.3,3495,female,2009
Chinstrap,54.1,18.2,203,3685,female,2010
Chinstrap,50.1,14.7,201.5,4459,male,2010
Chinstrap,48.1,18.7,189.4,3394,female,2010
Chinstrap,49.9,20.3,208.9,4278,male,2010
Chinstrap,52.3,20.6,187.5,3240,male,2010
Chinstrap,47.5,16.3,203.5,3642,female,2010
Chinstrap,46.4,17.2,186.1,3326,female,2010
Chinstrap,52.8,20.7,203,3940,male,2010
Chinstrap,43.8,19.8,188,3604,female,2010
Chinstrap,49,21.9,201.6,4027,male,2010
Chinstrap,38.8,17.4,185.6,3345,female,2010
Chinstrap,51.4,18.3,198.7,3467,male,2010
Chinstrap,45.2,18.1,186.9,3218,female,2010
Chinstrap,47.3,19.8,197.7,4033,male,2010
Chinstrap,50.9,17.9,201.3,3816,male,2010
Chinstrap,45.8,21.9,203.3,3499,female,2010
Chinstrap,54.5,16.8,204.3,3959,male,2010
Chinstrap,48.4,15.6,185,3645,female,2010
Chinstrap,44.7,18.3,195.8,3681,female,2010
Chinstrap,53.3,20.5,215.3,4004,male,2010
Chinstrap,41,16.3,195.5,3432,female,2010
Chinstrap,50.3,15.3,195.6,3812,male,2010
Chinstrap,49.9,20.9,210.8,4103,male,2010
Chinstrap,49.8,18.8,188.9,3789,female,2010
Adelie,41.3,17.2,183.1,3748,male,2008
Adelie,37.7,19.3,186.6,3805,female,2008
Adelie,39.6,14.4,196.6,3276,female,2008
Adelie,39.9,17.2,195.6,3455,female,2008
Adelie,41.2,19.8,189.3,3633,male,2008
Adelie,37,20.2,179.5,3628,female,2008
Adelie,38.8,22.5,199,4698,male,2008
Adelie,41.1,15.7,174.7,3160,female,2008
Adelie,37.8,19.5,187.2,3800,male,2008
Adelie,31.1,24.7,207.7,4404,male,2008
Adelie,37.5,18.8,183.9,3695,female,2008
Adelie,40.4,17.6,192.3,3434,female,2008
Adelie,42.5,20.3,195.5,4484,male,2008
Adelie,34.2,18.1,179.6,3342,female,2008
Adelie,45,22.7,202.5,4219,male,2008
Adelie,37.5,18.7,168.7,3397,female,2008
Adelie,35.9,19.7,173.9,3556,male,2008
Adelie,37.2,19.6,185.1,3821,female,2008
Adelie,36.3,21,187,3941,male,2008
Adelie,36.1,20.9,174.2,3811,male,2008
Adelie,32.9,19.7,185.3,3797,female,2008
Adelie,40.1,21.1,176.2,3527,male,2008
Adelie,40.6,21,183.9,3227,female,2008
Adelie,34.1,21.3,169.5,3144,female,2008
Adelie,39.9,16.5,174.5,3927,male,2008
Adelie,37.4,10.9,181.6,3266,female,2008
Adelie,34.7,16.6,181.7,3883,male,2008
Adelie,42,23.1,186.8,3289,female,2008
Adelie,40.8,16.8,177.6,3892,male,2008
Adelie,40.1,16.1,190.7,3350,female,2008
Adelie,40.7,21.9,201.7,4129,male,2008
Adelie,41,21.7,181.1,3973,male,2008
Adelie,46.3,19.5,178.4,3555,female,2008
Adelie,35.5,18.2,170.7,3278,female,2008
Adelie,38.7,14.8,176.9,4668,male,2008
Adelie,35.7,18.7,176.2,3124,female,2008
Adelie,41.4,25.6,191.3,3941,male,2008
Adelie,34.5,14,187.1,3084,female,2008
Adelie,42.5,21.4,197.6,4411,male,2008
Adelie,37.7,15.3,190.5,2990,female,2008
Adelie,34.5,14.3,188.2,4620,male,2008
Adelie,43.1,21.3,176.8,3408,male,2008
Adelie,35.1,14.2,176.3,3433,female,2008
Adelie,40,17.4,198.5,4142,male,2008
Adelie,39.9,17.3,191.2,3478,female,2009
Adelie,41.9,19.8,200.5,4308,male,2009
Adelie,36.5,18.4,178.7,3487,female,2009
Adelie,41.7,15.2,215.4,4087,male,2009
Adelie,35.3,16.7,180.7,2903,female,2009
Adelie,39.7,24.2,178.5,3684,male,2009
Adelie,38.6,17.6,180.8,3519,female,2009
Adelie,40.5,21.6,193.7,3817,male,2009
Adelie,38,18.6,169,2834,female,2009
Adelie,39.7,20.3,192,3772,male,2009
Adelie,36.1,12.6,184.7,3153,female,2009
Adelie,41.1,20.4,189,4428,male,2009
Adelie,44.3,20.2,187.7,3623,female,2009
Adelie,45.2,19.9,186.9,4073,male,2009
Adelie,38.1,15.2,184.6,2833,female,2009
Adelie,39.8,18.8,186.1,3963,male,2009
Adelie,35.2,15.6,196.4,3397,female,2009
Adelie,42.5,19.2,188.4,4081,male,2009
Adelie,36.8,23.6,189.3,3051,female,2009
Adelie,40.1,15.7,198.9,4462,male,2009
Adelie,34.9,14.7,186.7,3601,female,2009
Adelie,39.8,22.4,193.3,3910,male,2009
Adelie,43.3,15,190,3514,female,2009
Adelie,46.2,13.7,200.5,4132,male,2009
Adelie,33.6,17.8,191.9,3669,female,2009
Adelie,43.9,22.8,191.9,4281,male,2009
Adelie,40.1,15.8,195.9,3692,female,2009
Adelie,41.2,19.3,191.1,3864,male,2009
Adelie,38.7,20.4,185.5,3541,female,2009
Adelie,47.6,16.5,201.4,3987,male,2009
Adelie,35.1,18.9,189.4,3210,female,2009
Adelie,43.8,15.2,190,4648,male,2009
Adelie,36.5,18.5,182.1,3773,female,2009
Adelie,35.5,19.2,194.6,4213,male,2009
Adelie,36.9,17,194.4,3353,female,2009
Adelie,43.6,22.2,198.6,3582,male,2009
Adelie,39.1,22.6,195.7,3813,male,2009
Adelie,36.1,18.9,180.1,3477,female,2009
Adelie,36.5,13.4,192.1,3967,male,2009
Adelie,38.1,15.5,200.8,3617,female,2009
Adelie,34.9,13.8,205.8,3571,female,2009
Adelie,37.9,21.5,195.8,4320,male,2009
Adelie,38.8,14.1,189.7,3400,female,2009
Adelie,36.3,17.5,199.8,4477,male,2009
Adelie,37.5,19.2,176.8,3288,female,2009
Adelie,36.6,16.2,207.9,4286,male,2009
Adelie,39.1,15.1,187.5,3702,female,2009
Adelie,40.9,14.7,204.6,4306,male,2009
Adelie,33.5,18.2,173.3,2931,female,2009
Adelie,43.4,16.8,184.3,4118,male,2009
Adelie,35,17.1,190.2,3727,female,2010
Adelie,41,24.3,213.9,4713,male,2010
Adelie,40.8,16,176.7,3100,female,2010
Adelie,38.4,23.4,192.5,4228,male,2010
Adelie,35.8,15.9,197.7,2902,female,2010
Adelie,38.6,18.2,177.8,3548,male,2010
Adelie,37.6,16.7,213.8,3757,female,2010
Adelie,41.1,18,185.2,3856,male,2010
Adelie,38.6,16.7,187.2,3148,female,2010
Adelie,48.6,19.7,202.6,4750,male,2010
Adelie,35.8,16.9,200,3829,female,2010
Adelie,45.9,24.7,193.3,4599,male,2010
Adelie,40,15.8,196.2,3182,female,2010
Adelie,43.7,13.6,197.7,4290,male,2010
Adelie,40.6,18.9,191.3,3926,female,2010
Adelie,42.4,18.8,209.6,4080,male,2010
Adelie,34.6,17.7,188.3,2911,female,2010
Adelie,37.9,16.6,203.2,3727,male,2010
Adelie,35.5,15.7,185.6,3338,female,2010
Adelie,40.9,20.4,189.4,3331,male,2010
Adelie,35,13.8,187.2,3160,female,2010
Adelie,39.4,21.4,190.8,3505,male,2010
Adelie,41.4,16,175.3,3447,female,2010
Adelie,42.6,16.9,191.9,3882,male,2010
Adelie,39.1,14.1,193.8,3034,female,2010
Adelie,44.1,16.4,194,3980,male,2010
Adelie,41.2,18.9,197.4,3259,female,2010
Adelie,41.9,17.8,199.3,4271,male,2010
Adelie,39.3,17.7,181.4,3027,female,2010
Adelie,44.2,16.8,206.5,3986,male,2010
Adelie,39,17.3,187.6,3353,female,2010
Adelie,46.2,18.7,199.2,3521,male,2010
Adelie,37.6,19.2,199.7,3505,female,2010
Adelie,37.4,15.9,199.4,4456,male,2010
Adelie,35.2,15.7,183.3,3422,female,2010
Adelie,41.5,18.9,185.4,3896,male,2010
Adelie,38.1,18.6,186.9,3200,female,2010
Adelie,41.7,22,190,3979,male,2010
Adelie,36.1,18.2,183.5,3382,female,2010
Adelie,34.9,19.1,188.1,4201,male,2010
Adelie,36.2,15.8,186,3413,female,2010
Adelie,41.6,17.6,184.4,3459,male,2010
Adelie,30.3,16.2,196.6,3027,female,2010
Adelie,42.7,18.6,185.5,3731,male,2010
Adelie,35.1,14.9,188.3,2994,female,2010
Adelie,39,18.3,174.6,3699,male,2010
Adelie,41.8,14.9,194.1,4245,male,2010
Adelie,38.1,16.7,185.1,3482,female,2010
Adelie,36.9,13.7,180.4,3431,female,2010
Adelie,36,22.1,182.4,3751,male,2010
Adelie,34.2,17.5,180.1,3714,female,2010
Adelie,44.2,17,198.8,3983,male,2010
Gentoo,46.2,14.3,221.4,4482,female,2008
Gentoo,47.3,15.1,227.5,5682,male,2008
Gentoo,46.1,11.3,207.3,4410,female,2008
Gentoo,46.7,16.2,213.5,5694,male,2008
Gentoo,48.1,16.9,226.3,5410,male,2008
Gentoo,44.8,13.7,210.1,4515,female,2008
Gentoo,44.2,14,213,4780,female,2008
Gentoo,48.2,15.5,215.4,5167,male,2008
Gentoo,44.8,12.7,209.8,4411,female,2008
Gentoo,43.4,16.5,209,5201,male,2008
Gentoo,38.6,16.3,211.6,4647,female,2008
Gentoo,49.1,15.7,205.5,5566,male,2008
Gentoo,44.5,15.2,222,4606,female,2008
Gentoo,52.5,17.3,209.1,5876,male,2008
Gentoo,48,10.5,204.4,4207,female,2008
Gentoo,48.8,18,221.7,5845,male,2008
Gentoo,39.8,14.8,217.9,4164,female,2008
Gentoo,45.5,14.5,234.3,6315,male,2008
Gentoo,45.6,14.4,204.6,4792,female,2008
Gentoo,50.9,14.2,220.3,5359,male,2008
Gentoo,50.1,14.1,214.1,5725,male,2008
Gentoo,41.1,15.2,209.8,4966,female,2008
Gentoo,47,10.8,216.1,4371,female,2008
Gentoo,45.6,19.5,214,5056,male,2008
Gentoo,40.8,15.1,210.4,4973,female,2008
