Player,PTS,Pos,Age,Tm,G,GS,MP,FG,FGA,P3,P3A,P2,P2A,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Jordan Ford,12,PG,25,SAC,6,0,22,4,7,2,3,2,4,2,2,0,2,2,2,0,0,1,0
Jordan Clarkson,942,SG,31,UTA,55,19,1682,337,816,91,309,246,507,177,201,49,139,188,277,35,6,146,81
Jontay Porter,115,PF,24,TOR,26,5,360,40,104,20,60,20,44,15,18,26,56,82,60,20,20,21,35
Jonathan Kuminga,1161,PF,21,GSW,71,44,1871,447,839,51,160,396,679,216,291,90,253,343,152,51,35,118,161
Jonathan Isaac,368,PF,26,ORL,54,1,827,136,260,39,100,97,160,57,79,67,167,234,26,38,65,25,58
Jonas Valanciunas,966,C,31,NOP,78,78,1847,387,687,37,116,350,571,155,195,181,514,695,163,29,68,104,210
Johnny Juzang,109,SG,22,UTA,16,1,274,40,86,25,63,15,23,4,6,7,24,31,15,2,1,8,22
Johnny Davis,121,SG,21,WAS,47,4,542,51,137,9,34,42,103,10,17,18,48,66,28,15,10,8,47
John Konchar,235,SF,27,MEM,55,23,1173,88,208,38,120,50,88,21,25,72,185,257,110,51,51,46,76
John Collins,1027,PF,26,UTA,68,66,1901,397,746,86,232,311,514,147,185,157,418,575,77,40,61,98,191
Joel Embiid,1284,C,29,PHI,37,37,1242,428,806,46,123,382,683,382,433,93,313,406,204,43,63,141,106
Joe Ingles,281,SF,36,ORL,64,0,1106,94,217,67,155,27,62,26,31,18,114,132,190,42,4,63,87
Joe Harris,39,SG,32,DET,16,0,170,14,39,10,30,4,9,1,2,3,10,13,10,3,2,4,19
Jock Landale,232,C,28,HOU,52,1,660,90,179,7,31,83,148,45,57,84,77,161,54,16,28,26,66
Jimmy Butler,1180,PF,34,MIA,56,56,1909,373,755,55,137,318,618,379,438,100,198,298,275,74,17,93,66
Jevon Carter,329,PG,28,CHI,68,0,924,127,331,71,210,56,121,4,7,9,46,55,79,33,14,34,67
Jett Howard,26,SF,20,ORL,15,0,53,9,24,6,19,3,5,2,4,1,5,6,3,0,1,2,3
Jerome Robinson,26,SG,26,GSW,21,0,75,9,31,2,17,7,14,6,10,1,5,6,5,0,3,2,5
Jermaine Samuels,20,SF,25,HOU,12,0,55,9,13,0,2,9,11,2,2,3,9,12,2,1,1,0,4
Jeremy Sochan,861,PF,20,SAS,74,73,2193,340,776,70,227,270,549,111,144,137,339,476,249,62,40,140,168
Jeremiah Robinson-Earl,108,PF,23,NOP,35,1,321,42,89,12,37,30,52,12,15,22,51,73,21,10,4,15,24
Jerami Grant,1132,PF,29,POR,54,54,1830,383,850,111,276,272,574,255,312,37,154,191,152,45,34,116,117
Jeff Green,476,PF,37,HOU,74,6,1240,156,343,48,147,108,196,116,143,43,122,165,64,15,30,44,96
Jeff Dowtin,42,PG,26,PHI,9,0,113,15,27,9,18,6,9,3,3,3,15,18,20,5,1,5,1
Jeenathan Williams,50,SG,24,HOU,20,0,107,21,41,1,4,20,37,7,10,11,9,20,7,3,0,2,10
Jayson Tatum,1947,PF,25,BOS,72,72,2576,658,1394,224,593,434,801,407,488,66,526,592,351,73,41,184,141
Jaylin Williams,249,C,21,OKC,65,1,839,84,211,48,135,36,76,33,40,34,182,216,102,25,26,32,92
Jaylen Nowell,75,SG,24,TOT,11,1,195,32,72,6,27,26,45,5,7,6,15,21,18,4,2,6,15
Jaylen Brown,1581,SF,27,BOS,68,68,2278,614,1222,144,399,470,823,209,297,79,296,375,245,79,35,158,179
Jay Huff,23,C,25,DEN,18,0,47,9,15,3,9,6,6,2,2,1,9,10,2,1,2,1,8
Jaxson Hayes,290,C,23,LAL,67,4,831,120,167,0,8,120,159,50,80,66,134,200,32,33,27,41,118
Javonte Green,55,SF,30,CHI,5,1,106,22,32,6,10,16,22,5,6,9,23,32,4,5,6,5,7
Javon Freeman-Liberty,109,PG,24,TOR,18,4,298,40,95,6,30,34,65,23,26,11,45,56,29,8,2,19,23
JaVale McGee,176,C,36,SAC,45,0,331,75,125,1,6,74,119,25,43,39,80,119,15,14,20,32,45
Jarrett Allen,1212,C,25,CLE,74,74,2348,492,785,0,5,492,780,228,304,233,548,781,200,51,78,115,143
Jarred Vanderbilt,150,PF,24,LAL,29,6,581,59,114,8,27,51,87,24,36,41,97,138,36,36,5,28,43
Jaren Jackson Jr.,1486,C,24,MEM,66,66,2124,516,1162,117,366,399,796,337,417,85,280,365,154,80,106,160,235
Jared Rhoden,46,SG,24,DET,13,0,154,18,38,5,16,13,22,5,8,2,18,20,11,3,7,6,20
Jared Butler,210,SG,23,WAS,37,0,484,81,168,21,70,60,98,27,30,8,41,49,106,25,7,46,48
Jarace Walker,112,PF,20,IND,31,0,328,42,105,20,52,22,53,8,9,12,46,58,39,14,11,16,29
James Wiseman,405,C,22,DET,59,4,977,172,271,0,2,172,269,61,87,98,199,297,47,10,36,64,135
James Johnson,8,PF,36,IND,8,0,40,3,9,0,2,3,7,2,2,1,3,4,7,5,1,4,7
James Harden,1188,PG,34,LAC,71,71,2460,351,818,186,486,165,332,300,341,34,335,369,609,77,57,184,127
James Bouknight,50,SG,23,CHO,14,0,81,18,41,13,30,5,11,1,2,1,8,9,6,1,1,2,3
Jamal Murray,1146,PG,26,DEN,55,55,1754,434,913,129,307,305,606,149,174,38,187,225,366,52,34,117,100
Jamal Cain,97,PF,24,MIA,23,1,255,34,79,11,31,23,48,18,23,15,21,36,10,10,5,8,21
Jalen Wilson,192,PF,23,BRK,40,3,580,67,153,22,63,45,90,36,44,40,69,109,42,9,2,19,41
Jalen Williams,1308,PF,22,OKC,67,67,2124,515,953,100,232,415,721,178,219,37,230,267,308,75,43,119,173
Jalen Suggs,880,SG,22,ORL,71,71,1908,315,675,146,366,169,309,104,137,46,172,218,195,102,44,129,191
Jalen Smith,578,C,23,IND,58,14,1003,224,381,58,139,166,242,72,104,105,220,325,61,15,37,41,119
Jalen Pickett,42,SG,24,DEN,25,0,120,15,35,9,25,6,10,3,4,1,13,14,20,4,0,9,13
Jalen McDaniels,152,SF,26,TOR,47,1,485,60,172,11,67,49,105,21,29,16,58,74,35,17,6,28,45
Jalen Johnson,883,SF,22,ATL,55,51,1865,353,695,70,199,283,496,107,147,72,408,480,200,66,47,100,131
Jalen Hood-Schifino,34,SG,20,LAL,21,0,109,10,45,2,15,8,30,12,20,2,11,13,8,3,2,9,13
Jalen Green,1554,SG,21,HOU,78,78,2491,541,1274,190,571,351,703,282,349,40,362,402,281,65,28,182,112
Jalen Duren,806,C,20,DET,59,58,1719,337,543,0,4,337,539,132,168,190,497,687,142,33,47,123,186
Jalen Brunson,2058,PG,27,NYK,73,73,2576,738,1546,194,492,544,1054,388,461,41,223,264,489,68,13,179,139
Jake LaRavia,290,PF,22,MEM,32,3,683,90,252,38,128,52,124,72,89,47,66,113,47,26,10,35,62
Jaime Jaquez Jr.,842,SF,22,MIA,71,20,2008,325,664,60,191,265,473,132,164,80,191,271,179,74,17,106,158
Jahmius Ramsey,47,SG,22,TOR,7,1,121,18,41,6,22,12,19,5,6,4,18,22,8,7,0,7,10
JaeSean Tate,265,SF,28,HOU,65,9,1031,108,229,23,77,85,152,26,39,61,136,197,64,42,15,37,137
Jae Crowder,289,PF,33,MIL,47,25,1078,107,247,53,151,54,96,22,31,27,123,150,64,37,8,20,71
Jaden Springer,142,SG,21,TOT,46,1,449,52,136,8,44,44,92,30,36,33,36,69,40,28,14,31,60
Jaden McDaniels,722,SF,23,MIN,68,67,1987,294,600,80,239,214,361,54,75,56,158,214,94,61,40,84,208
Jaden Ivey,1124,SG,21,DET,73,57,2101,395,921,114,345,281,576,220,289,83,172,255,279,54,40,177,199
Jaden Hardy,493,SG,21,DAL,69,6,917,181,444,78,214,103,230,53,68,18,99,117,101,18,4,51,72
Jacob Toppin,13,SF,23,NYK,9,0,38,5,9,1,4,4,5,2,2,3,4,7,3,0,1,1,3
Jacob Gilyard,173,PG,25,TOT,39,14,669,60,146,51,122,9,24,2,2,8,35,43,133,28,5,29,37
Jabari Walker,608,SF,21,POR,69,20,1622,223,486,38,134,185,352,124,163,141,336,477,70,41,22,64,167
Jabari Smith Jr.,991,PF,20,HOU,72,72,2292,357,786,131,359,226,427,146,178,134,459,593,107,52,55,86,194
Ja Morant,226,PG,24,MEM,9,9,318,80,170,14,51,66,119,52,64,6,44,50,73,7,5,27,19
Ish Wainright,23,SF,29,TOT,10,0,61,7,24,7,20,0,4,2,2,3,11,14,1,4,1,2,8
Ish Smith,139,PG,35,CHO,43,5,741,66,158,4,8,62,150,3,4,11,65,76,145,17,4,47,49
Isaiah Stewart,503,PF,22,DET,46,45,1423,186,382,67,175,119,207,64,85,74,231,305,73,17,38,66,99
Isaiah Livers,114,PF,25,DET,23,6,469,40,116,22,77,18,39,12,18,15,33,48,25,13,5,16,43
Isaiah Joe,616,SG,24,OKC,74,1,1388,214,467,143,340,71,127,45,52,29,140,169,94,43,20,43,80
Isaiah Jackson,379,C,22,IND,58,3,753,153,230,0,4,153,226,73,102,89,142,231,48,34,59,39,137
Isaiah Hartenstein,552,C,25,NYK,72,46,1804,222,345,1,3,221,342,107,148,230,366,596,172,83,78,85,202
Isaac Okoro,622,SF,23,CLE,66,41,1806,228,465,80,206,148,259,86,126,66,132,198,126,55,33,54,138
Immanuel Quickley,1109,PG,24,TOT,66,36,1921,374,859,164,415,210,444,197,233,16,232,248,317,49,9,94,110
Herbert Jones,794,SF,25,NOP,72,72,2184,279,553,106,253,173,300,130,150,70,183,253,186,100,61,87,212
Haywood Highsmith,376,PF,27,MIA,62,26,1256,141,306,71,178,70,128,23,33,58,131,189,65,52,29,30,107
Harry Giles,56,C,25,TOT,22,0,98,23,50,3,14,20,36,7,13,12,16,28,6,2,3,6,15
Harrison Barnes,939,PF,31,SAC,78,78,2250,329,691,144,367,185,324,137,172,61,166,227,89,49,11,56,94
Gui Santos,67,PF,21,GSW,21,0,166,22,44,9,22,13,22,14,15,15,29,44,12,3,2,7,20
Greg Brown III,15,PF,22,DAL,6,0,40,5,11,1,3,4,8,4,9,3,6,9,4,0,4,4,5
Grayson Allen,960,SG,28,PHO,71,71,2388,321,641,196,421,125,220,122,139,45,231,276,219,64,45,92,148
Grant Williams,756,PF,25,TOT,74,41,2071,266,587,123,328,143,259,101,134,84,225,309,165,43,39,105,218
Gradey Dick,464,SG,20,TOR,57,14,1174,172,405,79,217,93,188,41,47,26,99,125,67,32,2,47,83
Gordon Hayward,466,SF,33,TOT,48,27,1178,174,385,35,86,139,299,83,110,36,134,170,154,37,13,60,64
Goga Bitadze,304,C,24,ORL,58,33,934,124,203,2,13,122,190,54,82,108,170,278,78,30,71,42,104
Giannis Antetokounmpo,2207,PF,29,MIL,72,72,2539,830,1358,34,124,796,1234,513,780,193,640,833,469,86,77,246,209
GG Jackson II,591,PF,19,MEM,44,14,1085,201,466,87,242,114,224,102,136,46,131,177,53,21,21,59,56
Georges Niang,739,PF,30,CLE,79,10,1764,274,610,141,379,133,231,50,58,22,248,270,96,28,17,71,186
Gary Trent Jr.,933,SG,25,TOR,68,38,1908,345,801,174,431,171,370,69,89,23,157,180,113,73,10,43,88
Gary Payton II,231,SG,31,GSW,43,0,666,100,177,18,52,82,125,13,21,46,66,112,47,39,17,26,75
Gary Harris,360,SG,29,ORL,51,24,1207,127,282,72,194,55,88,34,45,23,63,86,83,46,13,29,85
Garrison Mathews,298,SG,27,ATL,62,4,896,93,195,78,167,15,28,34,41,15,70,85,33,17,7,18,110
Garrett Temple,71,SG,37,TOR,24,1,221,25,61,10,31,15,30,11,14,11,23,34,17,10,3,10,23
Gabe Vincent,29,PG,27,LAL,8,0,170,13,39,2,20,11,19,1,2,3,4,7,18,7,0,4,16
Furkan Korkmaz,88,SG,26,PHI,35,0,300,30,76,14,40,16,36,14,20,4,26,30,25,14,3,10,17
Fred VanVleet,1191,PG,29,HOU,71,71,2607,398,966,212,562,186,404,183,213,29,234,263,576,98,57,122,176
Franz Wagner,1372,SF,22,ORL,70,70,2269,509,1057,92,325,417,732,262,310,70,300,370,263,72,27,136,163
Frank Ntilikina,5,PG,25,CHO,5,0,43,1,9,1,8,0,1,2,2,1,5,6,4,0,0,1,4
Evan Mobley,747,PF,22,CLE,47,47,1446,305,522,20,53,285,469,117,165,104,341,445,152,42,67,85,128
Evan Fournier,175,SG,31,TOT,28,0,482,61,181,29,112,32,69,24,29,4,45,49,42,27,4,18,41
Eugene Omoruyi,167,SF,26,WAS,40,0,346,65,140,6,36,59,104,31,47,32,49,81,30,26,4,18,58
Eric Gordon,725,SG,35,PHO,65,24,1823,265,594,145,379,120,215,50,63,16,106,122,136,60,28,71,79
Emoni Bates,34,SF,20,CLE,13,0,102,12,37,9,28,3,9,1,4,1,10,11,7,1,2,2,5
E.J. Liddell,4,PF,23,NOP,8,0,23,1,6,0,5,1,1,2,2,0,5,5,1,2,2,2,2
Dyson Daniels,332,PG,20,NOP,57,16,1261,130,291,39,125,91,166,33,52,59,157,216,150,81,22,55,97
Dwight Powell,202,C,32,DAL,61,8,788,69,101,1,2,68,99,63,89,88,108,196,79,25,19,30,107
Duop Reath,573,C,27,POR,64,20,1144,215,462,82,231,133,231,61,83,86,144,230,66,30,34,51,156
Duncan Robinson,875,SF,29,MIA,68,36,1905,304,675,187,473,117,202,80,90,15,158,173,192,46,16,95,163
Dru Smith,39,SG,26,MIA,9,0,131,15,33,7,17,8,16,2,2,6,8,14,14,9,3,5,12
Drew Eubanks,371,C,26,PHO,72,5,1130,148,242,3,3,145,239,72,93,99,211,310,61,26,61,60,112
Draymond Green,460,PF,33,GSW,53,50,1422,180,365,46,122,134,243,54,72,75,305,380,311,54,45,129,159
Doug McDermott,333,SF,32,TOT,61,0,869,116,270,90,219,26,51,11,19,9,49,58,68,14,2,28,62
Dorian Finney-Smith,580,PF,30,BRK,68,56,1934,215,511,117,336,98,175,33,46,109,208,317,107,56,38,59,150
Donte DiVincenzo,1182,SG,27,NYK,77,59,2185,415,941,270,667,145,274,82,110,60,216,276,201,101,35,104,161
Donovan Mitchell,1401,SG,27,CLE,53,53,1871,482,1045,173,474,309,571,264,306,43,229,272,320,94,29,150,114
Dominick Barlow,144,PF,20,SAS,33,1,420,56,113,3,9,53,104,29,42,45,68,113,36,12,14,9,47
Domantas Sabonis,1524,C,27,SAC,78,78,2790,608,1021,31,82,577,939,277,394,278,796,1074,646,69,48,257,237
DMoi Hodge,14,SG,25,LAL,7,0,41,5,15,3,12,2,3,1,2,0,0,0,5,1,1,1,4
Dillon Brooks,883,SF,28,HOU,69,69,2136,316,734,129,356,187,378,122,145,48,184,232,115,62,9,85,225
Dexter Dennis,22,SG,24,DAL,4,0,30,10,19,1,8,9,11,1,3,1,8,9,4,0,1,3,1
Devonte Graham,86,PG,28,SAS,19,0,221,28,76,18,59,10,17,12,14,3,25,28,37,9,1,9,12
Devin Vassell,1323,SG,23,SAS,68,62,2248,498,1056,166,446,332,610,161,201,27,234,261,277,73,23,108,74
Devin Booker,1748,PG,27,PHO,64,64,2291,615,1242,142,390,473,852,376,425,51,245,296,450,57,27,169,195
Desmond Bane,997,SG,25,MEM,42,42,1443,360,776,137,360,223,416,140,161,36,149,185,230,43,22,112,120
Derrick White,1096,SG,29,BOS,71,71,2321,383,824,193,483,190,341,137,152,50,254,304,372,71,86,110,148
Derrick Rose,191,PG,35,MEM,24,7,399,76,165,15,41,61,124,24,27,7,38,45,78,8,2,31,21
Derrick Jones Jr.,633,SF,26,DAL,73,63,1719,229,473,80,229,149,244,95,132,78,166,244,69,51,48,63,115
Dereon Seabron,14,SG,23,NOP,6,0,55,4,13,1,2,3,11,5,6,1,6,7,5,2,1,0,4
Dereck Lively II,483,C,19,DAL,55,42,1294,221,296,0,2,221,294,41,81,135,243,378,60,36,77,50,144
Dennis Smith Jr.,369,PG,26,BRK,56,2,1059,147,338,32,109,115,229,43,58,50,114,164,203,68,12,68,121
Dennis Schroeder,1101,PG,30,TOT,79,57,2450,396,909,136,360,260,549,173,208,37,198,235,479,61,17,152,160
Deni Avdija,1054,SF,23,WAS,72,72,2153,390,765,83,221,307,544,191,258,84,435,519,271,60,34,153,177
DeMar DeRozan,1794,SF,34,CHI,76,76,2866,613,1287,68,212,545,1075,500,585,41,285,326,403,83,44,128,158
Delon Wright,185,PG,31,TOT,44,1,674,65,173,20,58,45,115,35,43,17,62,79,108,48,10,12,29
Dejounte Murray,1680,SG,27,ATL,75,75,2673,642,1399,194,533,448,866,202,253,56,339,395,482,106,24,191,130
DeJon Jarreau,43,SG,26,MEM,9,0,150,17,50,4,13,13,37,5,11,8,36,44,26,6,2,9,14
DeAnthony Melton,413,SG,25,PHI,36,33,1002,136,348,75,207,61,141,66,79,27,110,137,110,56,16,39,82
DeAndre Hunter,847,SF,26,ATL,54,34,1583,289,620,113,288,176,332,156,185,29,178,207,82,38,15,81,137
Deandre Ayton,859,C,25,POR,52,52,1691,397,693,1,6,396,687,64,78,172,411,583,87,51,41,93,106
Dean Wade,291,PF,27,CLE,54,32,1108,96,232,79,202,17,30,20,26,37,181,218,43,40,25,20,93
DeAaron Fox,1853,PG,26,SAC,70,70,2509,678,1465,199,545,479,920,298,405,67,253,320,395,139,30,183,183
DayRon Sharpe,409,C,22,BRK,60,1,910,165,288,4,15,161,273,75,123,157,224,381,84,24,42,68,130
Davion Mitchell,345,PG,25,SAC,68,4,1011,133,287,51,142,82,145,28,39,18,70,88,121,17,3,39,80
David Roddy,425,PF,22,TOT,63,13,1172,165,408,48,164,117,244,47,68,53,157,210,79,27,11,57,71
Darius Garland,996,PG,24,CLE,55,55,1841,364,817,126,342,238,475,142,170,30,114,144,360,74,6,169,93
Darius Bazley,18,PF,23,TOT,5,0,74,6,12,1,3,5,9,5,7,3,8,11,4,3,3,5,1
Dariq Whitehead,3,SF,19,BRK,2,0,24,1,5,0,3,1,2,1,2,0,4,4,3,0,1,0,0
Dario Saric,503,C,29,GSW,62,9,1080,177,381,73,194,104,187,76,89,71,206,277,142,30,9,74,111
DaQuan Jeffries,14,SG,26,NYK,17,0,46,6,17,2,10,4,7,0,2,0,5,5,5,0,1,3,2
Danuel House Jr.,144,SF,30,PHI,34,4,509,47,105,15,50,32,55,35,46,16,42,58,28,15,5,19,45
Dante Exum,423,PG,28,DAL,52,16,1038,159,294,52,104,107,190,53,68,23,117,140,150,22,5,48,82
Danilo Gallinari,269,PF,35,TOT,48,0,611,80,182,30,91,50,91,79,93,19,85,104,55,13,6,20,49
Daniel Theis,344,C,31,TOT,57,3,949,143,270,24,62,119,208,34,46,79,144,223,59,19,47,37,123
DAngelo Russell,1332,PG,27,LAL,73,66,2375,481,1047,219,523,262,524,151,184,28,202,230,461,67,34,154,149
Damian Lillard,1718,PG,33,MIL,70,70,2478,524,1233,215,605,309,628,455,494,34,273,307,492,70,17,184,132
Damian Jones,102,C,28,CLE,37,0,256,41,68,2,12,39,56,18,21,20,42,62,15,7,13,13,26
Dalen Terry,141,SG,21,CHI,55,1,593,53,130,14,66,39,64,21,34,24,73,97,71,24,13,27,68
Dalano Banton,500,PG,24,TOT,51,8,938,183,437,55,166,128,271,79,103,41,121,162,114,29,17,67,60
Daishen Nix,22,PG,21,MIN,13,0,46,8,22,5,15,3,7,1,4,0,2,2,5,5,0,3,1
D.J. Carton,11,SG,23,TOR,4,0,36,3,8,1,4,2,4,4,5,2,2,4,3,1,0,1,3
Craig Porter Jr.,283,PG,23,CLE,49,5,638,115,226,12,34,103,192,41,56,21,85,106,116,20,14,45,39
Cory Joseph,63,PG,32,GSW,26,0,296,23,64,13,42,10,22,4,7,6,24,30,42,4,3,12,25
Corey Kispert,1014,SF,24,WAS,77,19,1958,366,753,173,454,193,299,109,151,27,185,212,137,40,15,93,137
Collin Sexton,1458,SG,25,UTA,78,51,2075,506,1038,128,325,378,713,318,370,71,134,205,383,62,18,165,154
Collin Gillespie,87,PG,24,DEN,24,0,225,32,69,15,38,17,31,8,12,1,20,21,27,13,0,14,24
Cole Swider,42,SF,24,MIA,15,0,83,15,36,10,28,5,8,2,2,1,6,7,4,1,1,8,2
Cole Anthony,892,PG,23,ORL,77,0,1744,314,729,89,267,225,462,175,213,62,240,302,226,61,36,119,169
Colby Jones,54,SG,21,SAC,27,0,176,25,66,2,21,23,45,2,7,16,22,38,18,7,4,7,25
Cody Zeller,74,C,31,NOP,40,0,304,25,60,1,3,24,57,23,38,47,62,109,36,9,5,15,42
Cody Martin,211,SF,28,CHO,28,22,753,82,215,27,86,55,129,20,33,19,90,109,104,32,18,44,48
Coby White,1421,PG,23,CHI,75,74,2732,504,1138,203,535,301,603,210,249,42,304,346,386,49,17,158,178
Clint Capela,802,C,29,ATL,70,70,1800,337,592,0,1,337,591,128,202,327,421,748,86,41,105,72,161
CJ McCollum,1209,PG,32,NOP,62,62,2013,444,978,213,513,231,465,108,131,35,233,268,283,58,39,103,120
Chuma Okeke,105,SF,25,ORL,44,8,422,39,110,23,81,16,29,4,7,18,60,78,19,9,7,15,19
Christian Wood,347,PF,28,LAL,50,1,872,123,264,35,114,88,150,66,94,39,215,254,49,16,33,50,72
Christian Braun,551,SG,22,DEN,78,3,1552,204,449,56,149,148,300,87,125,72,214,286,118,37,32,52,131
Chris Paul,499,PG,38,GSW,54,16,1423,191,429,74,194,117,235,43,52,18,190,208,368,67,5,70,98
Chris Livingston,19,SF,20,MIL,18,0,73,8,18,1,4,7,14,2,2,2,13,15,5,2,0,4,11
Chris Duarte,230,SF,26,SAC,57,11,707,80,205,44,123,36,82,26,33,26,79,105,43,28,8,25,78
Chris Boucher,322,PF,31,TOR,50,0,705,110,217,31,94,79,123,71,92,62,145,207,23,14,24,28,68
Chimezie Metu,283,C,26,TOT,47,8,724,105,204,19,75,86,129,54,60,36,127,163,39,39,16,42,67
Chet Holmgren,1298,C,21,OKC,78,78,2327,482,915,125,337,357,578,209,263,120,495,615,193,49,184,127,190
Charles Bassey,63,C,23,SAS,19,0,205,29,40,0,1,29,39,5,6,23,53,76,21,8,17,15,31
Cedi Osman,489,SF,28,SAS,72,3,1269,184,384,86,221,98,163,35,52,25,155,180,119,36,11,47,107
Cason Wallace,540,SG,20,OKC,78,12,1614,209,421,93,222,116,199,29,37,51,127,178,112,70,34,45,126
Caris LeVert,918,SG,29,CLE,66,10,1904,333,795,105,326,228,469,147,193,37,235,272,339,73,34,115,117
Cameron Payne,560,PG,29,TOT,75,9,1247,201,467,100,257,101,210,58,67,19,91,110,195,38,11,65,123
Cameron Johnson,763,PF,27,BRK,57,47,1572,272,611,137,349,135,262,82,105,55,193,248,137,48,15,55,101
Cam Whitmore,527,SF,19,HOU,43,1,786,193,421,70,194,123,227,71,105,41,124,165,20,28,14,42,54
Cam Thomas,1400,SG,22,BRK,63,48,1975,499,1130,132,370,367,760,270,317,27,179,206,184,45,15,117,131
Cam Reddish,260,SF,24,LAL,47,26,974,91,232,37,110,54,122,41,54,27,72,99,47,47,14,31,63
Caleb Martin,611,SF,28,MIA,60,19,1637,230,521,76,213,154,308,75,97,69,197,266,129,42,25,74,121
Caleb Houstan,248,SF,21,ORL,56,12,791,79,200,71,187,8,13,19,24,28,54,82,28,13,3,16,61
Cade Cunningham,1405,PG,22,DET,62,62,2074,524,1167,119,335,405,832,238,274,33,235,268,464,56,22,212,153
Buddy Hield,970,SF,31,TOT,81,42,2099,357,818,208,545,149,273,48,54,56,197,253,231,69,42,100,164
Buddy Boeheim,28,SF,24,DET,7,0,66,8,25,7,21,1,4,5,5,1,7,8,3,0,1,0,4
Bryce McGowens,269,SG,21,CHO,55,13,820,92,207,31,93,61,114,54,71,16,80,96,46,20,8,27,74
Bruno Fernando,239,C,25,ATL,41,1,593,95,165,0,4,95,161,49,75,58,118,176,43,25,28,39,93
Bruce Brown,690,SG,27,TOT,64,44,1796,263,559,51,160,212,399,113,135,53,224,277,183,59,17,81,143
Brook Lopez,936,C,35,MIL,75,75,2301,346,713,138,380,208,333,106,129,110,284,394,122,42,181,77,185
Brice Sensabaugh,191,SF,20,UTA,28,11,490,69,174,27,93,42,81,26,30,12,73,85,49,11,4,42,36
Braxton Key,20,SF,26,DEN,19,0,59,7,17,2,5,5,12,4,6,3,13,16,9,2,1,1,5
Brandon Williams,24,PG,24,DAL,13,0,60,8,23,2,7,6,16,6,11,3,4,7,12,1,1,3,2
Brandon Miller,1222,SF,21,CHO,71,65,2301,458,1043,174,470,284,573,132,162,59,245,304,169,63,42,127,179
Brandon Ingram,1319,SF,26,NOP,63,63,2079,494,1008,85,239,409,769,246,307,43,276,319,363,50,40,161,145
Brandon Clarke,54,PF,27,MEM,5,0,107,26,47,1,5,25,42,1,7,13,18,31,9,4,5,3,7
Brandon Boston Jr.,119,SF,22,LAC,28,0,249,46,109,10,35,36,74,17,25,11,23,34,7,4,7,11,32
Brandin Podziemski,648,SG,20,GSW,70,28,1870,257,571,85,224,172,347,49,78,113,292,405,264,59,13,86,121
Bradley Beal,863,SG,30,PHO,49,49,1622,339,671,89,217,250,454,96,121,47,158,205,249,47,20,122,118
Bones Hyland,192,PG,23,LAC,34,4,450,72,196,34,108,38,88,14,18,4,33,37,76,20,3,39,43
Bol Bol,217,PF,24,PHO,40,0,453,90,146,22,50,68,96,15,19,31,102,133,17,9,25,17,41
Bojan Bogdanovic,829,PF,34,TOT,53,27,1408,295,647,125,316,170,331,114,145,21,125,146,94,28,5,98,95
Bogdan Bogdanovic,1268,SG,31,ATL,75,29,2279,450,1047,229,608,221,439,139,152,52,212,264,234,92,25,104,172
Bobby Portis,1064,PF,28,MIL,78,1,1903,437,871,94,238,343,633,96,122,134,436,570,95,60,31,80,179
Blake Wesley,229,SG,20,SAS,57,1,779,88,186,8,47,80,139,45,70,17,65,82,153,26,9,46,82
Bilal Coulibaly,532,SF,19,WAS,63,15,1715,188,432,64,185,124,247,92,131,56,200,256,110,57,48,87,137
Bennedict Mathurin,856,SF,21,IND,59,19,1538,296,663,80,214,216,449,184,224,60,174,234,119,35,14,97,117
Ben Sheppard,231,SG,22,IND,54,1,747,82,208,44,141,38,67,23,26,12,68,80,48,30,2,13,84
Bam Adebayo,1313,C,26,MIA,67,67,2294,507,976,12,35,495,941,287,380,153,562,715,266,75,64,153,153
Ayo Dosunmu,924,SG,24,CHI,76,37,2212,360,719,119,295,241,424,85,105,54,162,216,242,68,36,103,166
Austin Reaves,1245,SG,25,LAL,79,54,2540,436,905,144,401,292,504,229,266,54,290,344,441,65,22,170,143
Ausar Thompson,556,SF,21,DET,63,38,1583,232,480,21,113,211,367,71,119,129,273,402,120,68,59,84,175
Ashton Hagans,75,PG,24,POR,18,1,302,27,67,7,22,20,45,14,17,13,30,43,50,10,9,29,39
Armoni Brooks,42,PG,25,BRK,10,0,104,15,46,11,32,4,14,1,2,7,11,18,5,1,1,3,3
Anthony Gill,158,PF,31,WAS,47,1,397,63,133,8,32,55,101,24,31,33,47,80,27,12,8,23,42
Anthony Edwards,1946,SG,22,MIN,75,74,2636,685,1492,182,506,503,986,394,474,50,362,412,386,98,41,230,133
Anthony Davis,1810,C,30,LAL,74,74,2625,689,1244,28,100,661,1144,404,495,231,705,936,258,88,176,152,171
Anthony Black,306,PG,20,ORL,66,33,1135,111,242,35,91,76,151,49,80,33,105,138,90,35,21,54,108
Anfernee Simons,1039,SG,24,POR,46,46,1582,360,837,156,405,204,432,163,178,22,145,167,255,23,5,126,98
Andrew Wiggins,870,SF,28,GSW,67,55,1808,330,731,83,232,247,499,127,171,105,199,304,115,39,36,81,137
Andrew Nembhard,598,PG,24,IND,65,44,1612,250,502,57,161,193,341,41,51,35,100,135,262,62,5,97,135
Andre Jackson Jr.,120,SG,22,MIL,53,8,542,48,95,16,43,32,52,8,11,42,65,107,49,14,6,24,88
